replay_idx,beatmap_name,mod_str,nm_stars,neg_loglik_FC,neg_loglik_SS_given_FC
776,YOASOBI - Yoru ni Kakeru [Hard],NM,3.221890599,5.414477443,33.56552161
436,Crywolf - Eyes Half Closed [Remap],NM,5.460696399,5.412930206,20.57139246
83,toby fox - Last Goodbye [Determination],NM,5.771534023,5.41142274,14.56058154
870,toby fox - Last Goodbye [Determination],NM,5.771534023,5.41142274,14.56058154
269,"Arata Iiyoshi, Hideki Sakamoto, Keisuke Ito - Boss Battle! [Challenge!]",NM,5.935573402,5.409646509,12.04130638
498,Nogizaka46 - Yubi Bouenkyou (TV Size) [Glaceon's Extra],NM,5.540147255,5.401602851,11.55577606
751,Mutsuhiko Izumi - Chinese Snowy Dance [Insane],NM,4.722981585,5.373675654,49.723856
655,765 MILLION ALLSTARS - Brand New Theater! [We are all MILLION!!],HDHR,5.998041226,5.355467847,28.96076892
699,Mizuki Nana - STARTING NOW! (TV Size) [2D Supremacy],HD,5.607640485,5.348858901,24.20974112
430,Komiya Mao - (can you) understand me? [heh?],NM,5.30876709,5.339756795,17.14802352
174,Will Stetson - Despacito ft. R3 Music Box [Hakura's Extra],HDDT,5.338461891,5.337522269,7.930565267
911,THE ORAL CIGARETTES - ReI [Suou's Insane ft. torriru],HD,4.641608644,5.328757329,38.59450096
279,Himeringo - Idola no Circus [Reform's Insane],HDDT,4.482149521,5.307820463,19.43526031
687,chano & 40mP - Natsukoi Hanabi [Spark of Light],DT,5.008276815,5.280366765,12.04858426
534,Roddy Ricch - The Box [jamesjan's Hard],DT,2.790552619,5.27829608,18.14951105
406,Bad Bunny - La Santa (feat. Daddy Yankee) [no te hagas tu eres igual],NM,4.759164951,5.263070325,20.53131755
735,"Pyxis - Koise yo Minna, Hai! (TV Size) [Hai!]",DT,5.232494643,5.250698497,11.54437632
702,Turbo - PADORU / PADORU [Xenon's Hi-Speed Expert],HD,5.433327501,5.230454787,3.622486342
353,Yorushika - Hana ni Bourei [Phantom],NM,4.673647318,5.225064194,27.58204733
571,Spira Spica - Sansan Days (TV Size) [Insane],DT,4.637534345,5.186955503,9.748510696
165,RADWIMPS - Zen Zen Zense (movie ver.) [Extra: Taki],NM,5.437408369,5.160100696,17.80604421
420,Primary - Awake [Goodbye],HDHR,5.803804571,5.154704799,19.72677982
813,Starset - My Demons [Survivability],HD,5.455327784,5.143311292,18.82044521
721,TUYU - Doro no Bunzai de Watashi dake no Taisetsu o Ubaouda nante [Hard],HDDT,3.380556668,5.1416859,16.14757747
315,"Ben and Ben - Kathang Isip [Burst damage or damage over time, it's still the same when you let go.]",NM,3.361084182,5.137880186,31.14325764
135,Foreground Eclipse - Storytellers [Lunatic],NM,4.586962021,5.132853741,33.77393866
25,Breaking Benjamin - Breath [Extra],NM,5.272865847,5.132029849,25.81631267
188,kakichoco - Zan'ei [Illusion],HDHR,5.578497392,5.114572975,30.4044785
708,HAG - Colorful [Nevo's Expert],NM,5.473918882,5.112717478,8.915855505
734,REDALiCE - Great nano desu [Insane],NM,5.252775983,5.106639365,65.65949514
270,Sayuri x MY FIRST STORY - Reimei (TV Size) [xChippy's Extra],HDHR,5.944020269,5.099911807,17.75916404
44,AK X LYNX ft. Veela - Virtual Paradise [thzz' Insane],HDDT,4.36758666,5.088827578,15.50107337
443,Various Artist - Oriental's Long Stream Practice & Training Maps [BPM176 Hana Kagerou],NM,4.568090211,5.080548237,112.9038039
881,Evoluutiomies - Suklaapallit [Mukun Suklaapallit],HDDT,3.948780821,5.069812908,21.88315887
611,Memme - Xiao Long Bao [Another],NM,4.409428387,5.046409528,34.82022452
303,YUI - Rolling star [Insane],HDDT,4.199617687,5.037103572,25.2254851
210,Imagine Dragons x JID - Enemy (TV Size) [Misery],HDDT,4.492892853,5.025796856,7.388950617
445,Machico - fantastic dreamer [Meg's Extra],NM,5.283468846,4.999218444,18.24870912
40,AKINO from bless4 & CHiCO with HoneyWorks - MIIRO vs. Ai no Scenario [Tatoe],HD,5.98180005,4.991168554,12.94997192
159,SPYAIR - Sakura Mitsutsuki (TV Size) [Aurora],NM,5.734609884,4.972874477,14.98798307
474,Down - Ekoro [Light Insane],NM,3.91297766,4.971347003,21.92052097
158,Seiryu - BLUE DRAGON [Fiery's Insane],NM,4.83871069,4.953740074,27.40508949
144,S3RL feat Mixie Moon - FriendZoned [Slayed's Insane],HDDT,4.534460674,4.938121445,18.88782091
