beatmap_name,mods,stars_live,neg_loglik_SS
Demetori - Nostalgic Blood of the East ~ Sic World [The Girl Who Reads Scrolls],NM,6.662419797731859,43.40640678840711
Various Artists - Julaaaan's Triangle Jump Training 2 [On My Own],NM,8.80758823266472,43.40426805528203
Hiro - Carol Mega Mix [Yokes' Hidden Presents],HD,5.58268246831757,42.82644020320585
xi - FREEDOM DiVE [Extra],NF,7.055493228559143,42.788950073326994
Camellia feat. Nanahira - Kizuitara Shunkashuutou [Seasons],HDNF,9.550961949601014,42.7712286214239
umu. - humanly [facade],NM,8.941362887698606,42.74295346791921
96neko - Buriki no Dance [Delusion],NM,5.96454527799637,42.69223264266576
NOA - Monsters [<>],NM,7.997461657983298,42.65188363152606
F-777 - Space Battle [cs 4 lo],NM,7.900571651065048,42.58109743698349
Ice Nine Kills - IT Is The End [Mimari's Extra],NM,5.738198926701482,42.546763147425466
Kissing the Mirror x UNDEAD CORPORATION - Frozen Gear [Hunter In The Mist],NM,7.608327431612309,42.4162804317212
Kyary Pamyu Pamyu - Furisodation (DJ HKT's bootleg MIX) [Drunk on Love],NM,5.6610775499647765,42.156821022282074
Foreground Eclipse - Song's Compilation [Destruction],HD,6.422663943879701,41.68890786898099
Memme - Plasma Gun [Extreme],NM,6.457730435923303,41.53994145959771
44teru-k - F.I [Extra445],NM,5.111725551332444,41.408764786790776
GALNERYUS - RAISE MY SWORD [Feruver's Expert],NF,6.08390902176162,40.85725938824483
Team Grimoire - Dantalion [Conflict],NM,6.026841936481556,40.82329127013573
Yousei Teikoku - last moment [extreme],NM,6.27036451837186,40.591860445071305
cosMo@BousouP feat. Hatsune Miku - Machinegun Poem Doll [Chaotic Burst of Maniac Rhythm],NM,6.293297811749589,40.29435555522748
tokiwa yuu - shounen ripples [Arles],NM,8.111010138085122,39.87664501494646
positive MAD-crew - Mynarco [Withdrawals],NM,6.017462027694994,39.8719956023549
gmtn. (witch's slave) - Illegal Paradise [Slavery],NM,7.120851916534559,39.805737314984654
Demetori - Seijouki no Pierrot ~ The MadPiero Laughs [Stage 5],NM,6.255748069198596,39.71364149752487
DJ OKAWARI - Flower Dance [Titania NC 9.8],HDNF,7.960868559005361,39.58760324691207
Ata - Euphoria [Ultimate Power],HD,8.459031951547505,39.55632901538857
Camellia - GHOST [SPEKTRE],NM,7.060888629579438,39.42367634313234
DJ OKAWARI - Flower Dance [Titania 9.7],NM,7.816623356323934,39.28331002249913
xi - FREEDOM DiVE [Extreme],NM,6.731949982339801,38.64410547985352
Halozy - Genryuu Kaiko [Higan Torrent],NM,6.7688928202004846,38.59426814390281
Feint - Tower Of Heaven (You Are Slaves) [Another],NM,4.3920758770037365,38.49374221348477
