beatmap_name,mods,stars_live,neg_loglik_SS,neg_loglik_300s_and_100s,neg_loglik_FC
Foreground Eclipse - Song's Compilation [Flames Within These Black Feathers],NF,6.756233499,32.6550845,11.71299965,9.640624725
Meramipop - Secret Desire - Dyes Remix - [Irregular],NM,5.720579675,28.26600652,11.49417667,9.630937113
"ShinRa-Bansho - Pink Kurage to, Sotto, Kiss o Shita. [I gently kissed the pink jellyfish.]",HD,6.908677309,29.80228121,11.14716003,9.547770006
[Kyoro] - Mochio- [Extra],NM,5.958117635,26.13343699,10.74399437,9.496666934
UNDEAD CORPORATION - Everything will freeze [Extra],NM,6.692138142,60.37774628,17.19492397,9.453115503
ZUTOMAYO - Kan Saete Kuyashiiwa [geragera],NM,5.738488799,26.2468244,10.78280493,9.347305186
Andromedik - Invasion [Collab Extra],NM,5.214717705,20.53632927,10.2895156,9.328833615
Various Artists - 220bpm pack [Mynarco Addiction],NM,7.050281463,36.12149817,12.25721275,9.322566046
M2U - A Bella! (feat. Lucy) [X],NF,5.823539176,23.72799312,10.16655962,9.282990619
Tech N9ne - Worldwide Choppers [Gangsta],NF,6.349763454,33.47432747,11.37608409,9.207282044
Ling Yuan yousa - Kami no Manimani [dance! dance!],NM,5.906146614,30.51049132,11.13489375,9.19425484
Unknown Artist - LEGIA TO CHUJE [Ultimate 2021: Speed],NM,6.695980383,118.5742043,34.38366347,9.066555492
Ne Obliviscaris - Libera [Lachesismic Armageddon],NM,8.139245487,74.0458742,19.45977056,9.064188013
Falcom Sound Team J.D.K. - baresuta intachi(Remix) [Extra AR10],NM,6.836884059,44.63502812,14.32841961,9.03105479
Yousei Teikoku - last moment [extreme],NM,6.270364518,40.49057107,12.26563057,9.024009519
Kondo Akihisa - Black Night Town (TV Size) [Vengeance],NM,6.040966601,17.59127522,9.376408445,9.018788898
THE ORAL CIGARETTES - Sesshoku [Apocalypse],HD,6.656151415,27.28133631,10.19716212,8.995951095
Imperial Circus Dead Decadence - Chinurareta Shuren ni Fukeru Houmura [Despair],NM,7.980034409,37.2132284,11.77460165,8.989882682
xi - FREEDOM DiVE [FOUR DIMENSIONS BPM180],NM,5.808355895,57.16255699,15.05827321,8.950548253
KASAI HARCORES - Cycle Hit [Home Run],NM,5.746726771,28.13006056,10.83258585,8.880921485
KASAI HARCORES - Cycle Hit [Home Run],NM,5.746726771,28.13006056,10.83258585,8.880921485
KASAI HARCORES - Cycle Hit [Home Run],NM,5.746726771,28.13006056,10.83258585,8.880921485
Jakarta Funk Brothers - INSOMNIA [hehe's C11H15NO2],NM,5.870751474,43.09184151,14.01923504,8.870767304
Hige Driver join. SELEN - Dadadadadadadadadada [SPECIAL],NF,6.340910857,29.81766382,10.56239851,8.866333987
Stormzy - Big For Your Boots [#Merky],NM,6.151172497,21.91256381,9.543910624,8.842410139
II-L - SPUTNIK-3 [Beyond OWC],NM,6.187928558,50.72104263,13.32421283,8.721086127
Sunless Rise - Awakening [Untruth],NM,7.132570969,40.49809472,12.66985083,8.691475891
Sunless Rise - Awakening [Untruth],NM,7.132570969,40.49809472,12.66985083,8.691475891
cosMo@BousouP feat. Hatsune Miku - Machinegun Poem Doll [Chaotic Burst of Maniac Rhythm],NM,6.293297812,44.78802285,13.10154534,8.682168646
Mob Psycho 100 (MOB CHOIR) - 99 [100%],NM,6.493769921,31.95231945,10.70779536,8.648842549
inabakumori - Lost Umbrella [Extra],NM,6.119738789,19.83679055,9.448866038,8.647505334
Teminite & MDK - Space Invaders [Dimensional Virtual Arcade],NM,8.03636408,18.4511448,9.314543795,8.644584666
Bentham - Chicago [Re: Wonder],NM,6.03592913,28.7852967,10.23847954,8.642845495
Memme - Plasma Gun [Extreme],NM,6.457730436,42.34599174,12.1006266,8.582363323
DJKurara - Goodbye [SEVEN COLORS],NM,6.12564775,32.26624564,10.76351113,8.531112175
dj TAKA - quaver [NiNo's Extra],HDNF,6.17796988,24.25894957,9.071893236,8.520543068
Thaehan - Doki-Doki [Extremerino],HD,5.830085535,37.20843872,11.42447695,8.500873608
Camellia - Break The Silence [murmur.],NM,7.007698325,35.05382332,10.94080649,8.455428085
Vickeblanka - Black Rover (TV Size) [Extreme],NM,7.002059016,20.81555254,8.914975518,8.45048715
Omoi - Snow Drive(01.23) [NiNo's Expert],NM,6.621448662,26.5550828,10.0412766,8.435503641
Yuyoyuppe - -ELIS- [Extreme],HD,6.42323851,47.00341922,12.78916761,8.371722421
Aqours - Aozora Jumping Heart [Sunshine!!],NM,7.029270642,18.81515354,8.758842397,8.359498987
positive MAD-crew - Mynarco [Withdrawals],NM,6.017462028,37.95097665,11.28808006,8.319877052
"Hoshimachi Suisei - GHOST [I will keep Singing in the Dark, just for ''You''.]",NM,6.527789328,30.37861477,10.01374711,8.31493496
"Hoshimachi Suisei - GHOST [I will keep Singing in the Dark, just for ''You''.]",NM,6.527789328,30.37861477,10.01374711,8.31493496
Tsumiki - phony [Calvaria's Ex],HD,5.452934963,19.23245623,9.077920845,8.249735314
DETI RAVE - NA KIEVSKOM DINAMO [DINAMO],NM,6.165408274,20.33067962,8.643902847,8.243143014
ShinRa-Bansho - Itazura Sensation [The Dead Princess was her?],NM,6.558103079,27.84278917,9.82202059,8.219639961
Nanahoshi Kangengakudan feat.Matsushita - Dance Number o Tomo ni [Dance Number],NM,5.544710443,19.4299875,9.072409795,8.211014404
Bentham - Chicago [Sky City],NM,6.6796513,19.90770551,8.632171214,8.188040947
weyheyhey !! - UP THE BUM NO BAIIIIIBEEZ [JUMP AROUND],NM,7.010331877,20.74952398,8.826019814,8.121649101
"Camellia - FLYING OUT TO THE SKY (covered by Nanahira, moimoi, Nana Takahashi) [browiec & Kuki's EXTRA]",NM,6.500139932,24.57142469,9.155632403,8.012562608
TheLaxOne - Skrillex Circulation [Rekt!],HD,6.301633054,22.0304769,8.642171266,8.003885168
PSYQUI - Still in my heart feat. Punipuni Denki [bones' true love <3],NM,6.044563122,27.22310609,9.783458588,7.972912187
Getty vs. DJ DiA - Grayed Out -Antifront- [Loli's Ultra],NM,6.173638327,31.37665916,10.13933547,7.964313356
Imperial Circus Dead Decadence - Shinbatsu o Tadori Kyoukotsu ni Itaru [Extreme],NM,6.479083184,45.25176513,13.26173485,7.951433647
onoken - Viden [Extreme],HD,5.701253135,36.82912046,10.67762355,7.937705963
"Imperial Circus Dead Decadence - Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo. [Reverberation]",NM,6.809989526,23.72606575,9.374269566,7.929789519
KNOCK OUT MONKEY - BRAVE OUT (TV Size) [THE TRUTH],NM,6.328118931,27.75279089,9.464841766,7.92735896
Marcioz - Mate Um Bonito Hoje Mesmo! [Extreme],NM,6.343043699,20.67658252,8.352279525,7.915249012
DJ Okawari - Flower Dance (Short Ver.) [Dance],NM,6.0132739,26.76428098,8.8575363,7.891942775
THE ORAL CIGARETTES - 5150 [Sotarks' Cataclysm],NM,6.576322302,23.52942193,8.808456046,7.875602133
Imperial Circus Dead Decadence - Shinbatsu o Tadori Kyoukotsu ni Itaru [Mun's Expert],NM,6.305655428,33.87590102,11.33668034,7.823054617
Akatsuki Records - KARMANATIONS [Reincarnation],NM,6.089176893,23.28844946,8.612373402,7.819179295
Akatsuki Records - KARMANATIONS [Reincarnation],NM,6.089176893,23.28844946,8.612373402,7.819179295
Apocalyptica - Reign of Fear [VI],HD,6.237214053,49.43661184,12.50800151,7.792317489
"kis-kis - ne uchi (Cut Ver.) [stop feeding me all this content, my head feels bloated]",NM,6.419715776,20.54933079,8.181202996,7.751800127
"MY FIRST STORY feat. chelly (EGOIST) - 1,000,000 TIMES [AGAIN AND AGAIN]",NM,6.194000609,26.67738017,9.225739698,7.74173825
Calliope Mori x Gawr Gura x DECO*27 - Q [Queen],NM,6.034200901,28.05497317,9.485950553,7.740721225
GYZE - HONESTY [Haxwill's Slider Hell],NM,4.899758214,8.194360718,7.76008556,7.737836203
TrySail - Utsuroi (Short Ver.) [browiec's Wisdom],NM,6.527377594,17.26895253,7.947659607,7.698550911
Camellia - Diastrophism [Real's Extreme],NM,6.045091349,39.36027799,11.547787,7.696674639
96neko - Uso no Hibana [Monstraia's Extra],FL,6.309047266,28.04740056,9.109835195,7.68551603
Roselia - This game [Last Game],NM,5.612609502,20.80289131,8.637063029,7.640933596
qfeileadh - breathe [Extreme],NM,5.711503905,53.67300933,12.69402592,7.609240874
LeaF - Calamity Fortune [Extra],HDFL,5.790563753,46.74642391,12.30551221,7.601133396
Tyrfing - Verflucht [Another],HD,5.856943221,44.72053067,11.93862804,7.596328566
Abe Mao - Kotae (TV Size) [Lost],NM,5.531718998,24.63048699,8.787435035,7.561229896
BAND-MAID - DICE [X],HD,6.475992133,24.76646221,8.677658073,7.51914309
Foreground Eclipse - Song's Compilation [Destruction],HD,6.422663944,41.49937382,11.4906509,7.501264969
Hoshimachi Suisei with Hololive Fantasy - Saga Jihen [newteurre's Extra],NM,5.208883789,24.42271836,8.991999336,7.500903328
UROBOROS - Black Swallowtail (TV Size) [Flezlin's Extra],NM,6.290803138,34.94676386,10.53381019,7.492991101
toby fox - Finale [Determination],HD,5.799902745,28.13752759,9.072613412,7.484206517
"nano - Star light, Star bright (TV Size) [Destiny]",NM,6.310230286,22.05921769,8.087167028,7.467782574
Reol - Streaming Heart [CRN's Extra],NM,6.323480058,20.68523388,8.26783407,7.456056665
-45 - Mind of the Corpse [mario kart wii is better than osu],NF,6.882096814,64.30144364,16.24816666,7.428863505
DECO*27 - First Storm feat. Hatsune Miku [my Drops of Tears I'll turn to Sparks of Fire],NM,6.656586256,33.38150798,9.950269356,7.400585506
Mantis & Rekoil - Trauma [Senitoshi Collab],NM,7.305109623,14.64226042,7.717068144,7.350973357
Saint Snow - DROPOUT!? [Kowari's Extra],NM,5.802104862,47.42978422,12.31632702,7.345585729
REDALiCE - Pekorap Tropical House Remix [Universal Daikaiten Peko Peko no Mai],NM,6.948137534,16.85309339,7.639292418,7.311492106
SYU (from GALNERYUS) - REASON [Meaning of Life],NM,5.925470137,38.95110337,10.93887252,7.275717848
SYU (from GALNERYUS) - REASON [Meaning of Life],NM,5.925470137,38.95110337,10.93887252,7.275717848
PSYQUI - Hype feat. Such (lapix Remix) [Seeing Stars],HD,5.745613209,30.69814809,9.915261556,7.245048672
Mia REGINA - My Sweet Maiden [Lust],NM,6.261554293,33.62059993,9.712662791,7.208145743
Kurosaki Maon - Gravitation (TV Size) [Imagine Breaker],NM,6.796460524,21.48731677,7.855058851,7.185394825
Aether Realm - The Fool [Shadow of the Light],NM,6.901760937,36.07924733,10.83061734,7.126413459
Nekomata Master+ - chaos eater -IIDX edition- [Kyumo's Another],NM,4.945873274,21.19026683,8.469312781,7.115539387
UNISON SQUARE GARDEN - Phantom Joke (TV Size) [A r M i N's First Order],NM,6.34962688,26.86124849,8.709851671,7.113774461
9mm Parabellum Bullet - Inferno [Tortured Soul Extra],NM,6.661078656,51.37959753,13.18972623,7.109987017
Ikimonogakari - Blue Bird feat. k*chan [ dj-Jo Remix ] TV Size [Tweet],NM,5.049901302,16.96228033,7.8860163,7.094573486
DJ Totoriott - Chloe [yf's Extra],NM,5.942771037,25.94386006,8.339350647,7.092019975
Bliitzit - Team Magma & Aqua Leader Battle Theme (Unofficial) [Catastrophe],NM,6.413248499,16.71015698,7.320653733,7.091492352
SOUND HOLIC - Airman ga Taosenai (SOUND HOLIC Ver.) [Airman],NM,6.057371567,27.50374758,8.572156222,7.091114689
