hidden_layer_count,hidden_layer_size,dropout_percent,init_learning_rate,decay_step_count,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,val_loss_0,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5,val_loss_6,val_loss_7
3,128,0.1,0.0001,1000,1.9551336765289307,0.3974597156047821,0.3778042495250702,0.3712814152240753,0.356797993183136,0.3528327941894531,0.35323596000671387,0.35376879572868347,0.35488393902778625,0.2641240656375885,0.3185071051120758,0.31751713156700134,0.26128774881362915,0.4024801254272461,0.26355504989624023,0.27533718943595886
3,128,0.1,0.0001,100,3.31321120262146,0.5864977836608887,0.5170108079910278,0.5117255449295044,0.49339330196380615,0.4905356168746948,0.49358808994293213,0.4960087835788727,0.36219069361686707,0.308904767036438,0.25976288318634033,0.2997472584247589,0.34699559211730957,0.32049524784088135,0.3407107889652252,0.2897278368473053
3,128,0.1,0.0001,10,7.480647087097168,6.775399684906006,6.852227210998535,6.903568744659424,6.695642471313477,6.670658588409424,6.702636241912842,6.792078971862793,2.819946050643921,2.2790424823760986,2.4970664978027344,2.601703643798828,3.7188425064086914,1.9932305812835693,3.4350531101226807,3.6766324043273926
3,128,0.05,0.01,1000,0.6398450136184692,0.3649294674396515,0.3840600550174713,0.40455856919288635,0.39400842785835266,0.3957790732383728,0.39501792192459106,0.3968448042869568,0.3227482736110687,0.3039359152317047,0.294137567281723,0.37450259923934937,0.23098021745681763,0.30006277561187744,0.3154120147228241,0.29278427362442017
3,128,0.05,0.01,100,0.4909248650074005,0.350976824760437,0.3525952398777008,0.3559587001800537,0.34599533677101135,0.345021516084671,0.34649449586868286,0.34831804037094116,0.31614163517951965,0.3193618655204773,0.22124341130256653,0.2811242341995239,0.3074709177017212,0.2914488613605499,0.26102015376091003,0.23015789687633514
3,128,0.05,0.01,10,0.5675937533378601,0.381919801235199,0.38643327355384827,0.39063847064971924,0.3797244429588318,0.37919729948043823,0.38042235374450684,0.382493793964386,0.2746221423149109,0.289239764213562,0.3311326503753662,0.3211565613746643,0.2685057818889618,0.21089915931224823,0.28392666578292847,0.2672613263130188
3,128,0.05,0.001,1000,0.5071613192558289,0.35098546743392944,0.35192734003067017,0.35457828640937805,0.3433055877685547,0.34173232316970825,0.34229809045791626,0.3445579409599304,0.31023117899894714,0.20218653976917267,0.2427395135164261,0.24240967631340027,0.22217708826065063,0.15799368917942047,0.27696937322616577,0.22120659053325653
3,128,0.05,0.001,100,0.4593072831630707,0.3529847264289856,0.35583746433258057,0.35925376415252686,0.34924355149269104,0.3481188416481018,0.34999045729637146,0.3515203595161438,0.2746458351612091,0.20675137639045715,0.35022181272506714,0.2798985540866852,0.2904091477394104,0.19461439549922943,0.19975018501281738,0.21563583612442017
3,128,0.05,0.001,10,0.58851158618927,0.48824837803840637,0.4917183816432953,0.49805569648742676,0.4833780527114868,0.4811760187149048,0.4846894443035126,0.4886151850223541,0.31563568115234375,0.274488240480423,0.27646762132644653,0.31798699498176575,0.3238106369972229,0.2937643826007843,0.3126659393310547,0.42470577359199524
3,128,0.05,0.0001,1000,1.3903690576553345,0.3908364772796631,0.36996787786483765,0.36566969752311707,0.35186031460762024,0.34881913661956787,0.3495482802391052,0.3505152463912964,0.2595277428627014,0.2561960220336914,0.2908826172351837,0.25421568751335144,0.3087831735610962,0.282949298620224,0.3779141306877136,0.2936539351940155
3,128,0.05,0.0001,100,1.5223445892333984,0.4676169753074646,0.4439321756362915,0.4457249343395233,0.43136993050575256,0.42878445982933044,0.43081292510032654,0.4344618320465088,0.3231261670589447,0.3149168789386749,0.33465543389320374,0.3350486159324646,0.3538782298564911,0.2919161915779114,0.3488483130931854,0.2574721574783325
3,128,0.05,0.0001,10,4.415363788604736,4.080051898956299,4.090126037597656,4.1396989822387695,4.037794589996338,4.0008931159973145,4.038855075836182,4.077322483062744,1.6681596040725708,2.388453722000122,2.490530014038086,2.135942220687866,2.2988409996032715,3.0919737815856934,1.4771308898925781,1.880789041519165
3,256,0.2,0.01,1000,0.4812496602535248,0.38413265347480774,0.3807697892189026,0.3896653354167938,0.3939875066280365,0.3974674940109253,0.3960965871810913,0.3969035744667053,0.230205699801445,0.3286404311656952,0.3296974003314972,0.3010128140449524,0.35193800926208496,0.39904507994651794,0.3439747393131256,0.28201422095298767
3,256,0.2,0.01,100,0.5156232714653015,0.3645556569099426,0.36597496271133423,0.36861878633499146,0.3582305312156677,0.3575058579444885,0.35850200057029724,0.3606413006782532,0.22907069325447083,0.3388676941394806,0.2044224739074707,0.24944932758808136,0.277388334274292,0.3127654194831848,0.28579702973365784,0.2593940496444702
3,256,0.2,0.01,10,0.5192776918411255,0.3812713325023651,0.385454922914505,0.3893965482711792,0.37907111644744873,0.37822872400283813,0.3792586922645569,0.38185858726501465,0.2611125409603119,0.30118465423583984,0.19195556640625,0.29022347927093506,0.2515566647052765,0.27047693729400635,0.3369722068309784,0.2392156720161438
3,256,0.2,0.001,1000,0.5820127725601196,0.35478830337524414,0.3560991585254669,0.35861170291900635,0.34747955203056335,0.345756858587265,0.34640464186668396,0.34832894802093506,0.3067958354949951,0.22714763879776,0.2307443469762802,0.25118768215179443,0.17689837515354156,0.3533805012702942,0.17809925973415375,0.23965859413146973
3,256,0.2,0.001,100,0.5636112689971924,0.3977583050727844,0.40244564414024353,0.4072915017604828,0.39559903740882874,0.39687350392341614,0.39604341983795166,0.3978847563266754,0.3116370141506195,0.28363534808158875,0.29879435896873474,0.36064863204956055,0.2845238447189331,0.27057239413261414,0.25587859749794006,0.3773439824581146
3,256,0.2,0.001,10,0.7783477902412415,0.5652310848236084,0.571918785572052,0.5782018899917603,0.5634047985076904,0.5600348114967346,0.5634720325469971,0.5661704540252686,0.40171313285827637,0.3185315430164337,0.30935874581336975,0.3260347545146942,0.4107443392276764,0.3466264605522156,0.306169331073761,0.22707660496234894
3,256,0.2,0.0001,1000,2.0182526111602783,0.4008319675922394,0.3786930739879608,0.37131738662719727,0.35652342438697815,0.35316401720046997,0.3533990681171417,0.3540184497833252,0.3462570607662201,0.3151490092277527,0.2522711455821991,0.26670438051223755,0.35357627272605896,0.2316601574420929,0.20322027802467346,0.3064015507698059
3,256,0.2,0.0001,100,1.4046460390090942,0.4415584206581116,0.42932868003845215,0.4314333200454712,0.4191487729549408,0.417194664478302,0.4195176661014557,0.42146867513656616,0.3828684687614441,0.38861799240112305,0.26781484484672546,0.2965227961540222,0.3014337122440338,0.320451021194458,0.24306467175483704,0.31958287954330444
