replay_idx,beatmap_name,mod_str,nm_stars,num_objects,neg_loglik_SS,neg_loglik_S,neg_loglik_FC
213,GYZE - HONESTY [HEART OF SORROW],NM,5.331063822637043,1547,225.0586379560676,46.94407780861006,22.63771259581212
214,ClariS - SHIORI -TV size mix- [Apex],HDDT,5.630903935982532,292,20.448957484149254,7.192715019829676,6.156707463014564
215,SPYAIR - Sakura Mitsutsuki [A r M i N's Extra],HDDT,5.334442467128927,298,21.32058345179084,7.593463066129993,6.268492114205368
216,Mizuki Nana - STARTING NOW! [Nowa's Hyper],NM,3.9016874087519637,301,14.421159041422134,4.168566209471483,3.3957402013918814
217,S3RL - I'll See You Again (feat. Chi Chi) [Hard],NM,3.2848538597456964,562,33.84840359394916,7.988109258031692,6.691051180090389
218,Colors*Slash - Colors Power ni Omakasero! [Mitsuboshi Jump!],NM,6.152124002147527,945,44.29298800549072,15.235199305041148,14.199585041304692
219,Maffalda - pensamento tipico de esquerda caviar [Gangsta],HDDT,5.973367577523474,349,29.38567452088559,14.30636053113943,13.29826967643881
220,Inori Minase - Yume no Tsubomi [Promise],HD,5.997925103250685,1343,76.47736333423505,21.83323736302269,18.97813868042301
221,SakiZ - osu!favourites [Marathon],NF,7.1522292954780555,3194,355.66833172825807,130.01181233321986,101.72720239320569
222,amazarashi - Kisetsu wa Tsugitsugi Shindeiku [Insane],HDSD,4.795324452391016,1191,59.44306428279283,15.376878770747172,13.564629275317877
223,Matrix & Futurebound - Fire (feat. Max Marshall) [Reaching for the Love],DT,5.8568600830526005,337,34.096391037735145,14.117183482316753,12.783864668801378
224,Angerfist - Knock Knock [I am the danger],NM,5.836235819770345,410,41.162119932192134,12.406395591863618,10.287034553657183
225,Sangatsu no Phantasia - Pink Lemonade [Expert],NM,5.415587621229518,1097,76.67500064652485,21.605221899036582,17.792900185761134
226,Yuyoyuppe - -ELIS- [Extreme],HD,6.423238509697946,1064,100.18824496358948,23.811929119392776,17.053996284426468
227,Aqours - Aozora Jumping Heart [Sunshine!!],NM,7.029270641890529,1197,73.66581799160423,31.001359390230444,28.95907926039407
228,ClariS - Gravity [Insane],DT,4.731764584563336,749,62.73747830830455,17.59117530366317,13.724958441798735
229,DJ OKAWARI - Flower Dance [Titania NC 9.8],HDNF,7.960868559005361,1405,209.0008683325076,103.53046600203949,96.36556953274253
230,Getty vs. DJ DiA - Grayed Out -Antifront- [Loli's Ultra],NM,6.1736383268761745,645,65.93153870905977,21.61196923131016,17.25755992975791
231,Bentham - Chicago [Expert],NM,5.544854941319404,337,16.179814906784724,6.290804641990705,5.9244181067307435
232,/v/ - AAAAAAAAAAAAAAAAAAAAAAAAAAAAAY LMAO [Kyshiro's Ayylien Invasion],HD,6.002547610619319,147,7.464000209208733,3.4857775329947347,3.3837119565108793
233,XXXTENTACION - Hope [Hard],NM,2.637187385263709,153,12.389164039325129,3.2311482709092703,2.4873457573150164
234,Johnny Berglund - Angry Nu Metal Trailer No3 [Extra],HD,5.668736614457089,109,14.68967160695897,4.294120337683673,3.251883082157717
235,Kondo Koji - Slider [64 DIMENSIONS],NM,6.984579506030912,1193,201.48354067590634,83.71375832056582,72.08650629628258
236,Toby Fox - THE WORLD REVOLVING [CHAOS! CHAOS!],HDHR,6.067897568759256,539,34.725414010948576,9.490965285051498,8.135996200366769
237,HISATOMI - lullaby (feat. KIRA) (uet Remix) [one more before i go...],NF,7.017241634326382,2118,283.0846021036073,118.85280679298077,100.55951363671173
238,DJ OKAWARI - Flower Dance [Titania 9.7],NM,7.816623356323934,1050,168.6953846497537,91.98872871843652,87.37229920221112
239,Linkin Park - Breaking The Habit [turbo kolab],NM,7.643965385720611,924,96.40492544421006,44.446534473356124,41.362578743534684
240,Drop - Granat [Extra],HDHR,5.067318067783114,178,10.119634668848981,2.079301203358755,1.774843322094535
