beatmap_name,mods,stars_live,neg_loglik_SS
Feint - Tower Of Heaven (You Are Slaves) [Another],NM,4.3920758770037365,51.07934944528182
xi - Blue Zenith (Cut Ver.) [TWO DIMENSIONS],NM,6.998108114395235,50.22598322925689
Yuyoyuppe - -ELIS- [Extreme],HD,6.423238509697946,50.10819398834827
Rings of Saturn - Senseless Massacre [Fenza's Genocide],NM,6.911083756179057,50.00215571856482
Demetori - Nostalgic Blood of the East ~ Sic World [The Girl Who Reads Scrolls],NM,6.662419797731859,49.68947944504454
Team Grimoire - Dantalion [Conflict],NM,6.026841936481556,49.42691670054101
GALNERYUS - RAISE MY SWORD [Feruver's Expert],NF,6.08390902176162,49.02848574254472
cosMo@BousouP feat. Hatsune Miku - Machinegun Poem Doll [Chaotic Burst of Maniac Rhythm],NM,6.293297811749589,48.676093958810654
Kissing the Mirror x UNDEAD CORPORATION - Frozen Gear [Hunter In The Mist],NM,7.608327431612309,48.495831524932285
Renard - Dash Hopes 3 [300 BPM Madness!],NM,7.446936917891108,48.05829775065112
Imperial Circus Dead Decadence - Danzai No Honoo To Koibito-Tachi No Rondo [Someday they will meet each other again],NM,7.038805852897091,48.03617433203607
96neko - Buriki no Dance [Delusion],NM,5.96454527799637,47.85787270461739
xi - Garyou Tensei [Hello],NM,6.772852515074356,47.793149738467434
GYZE - HONESTY [HEART OF SORROW],NM,5.331063822637043,47.33624074661277
katagiri - The Eve of the Breakcore Revolution [Extra],NF,6.735443720327536,46.996414485400734
Kondo Koji - Slider [64 DIMENSIONS],NM,6.984579506030912,46.677107299386236
"Imperial Circus Dead Decadence - Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo. [Kurushimi]",NM,8.22540175961293,46.5030906151939
Memme - Plasma Gun [Extreme],NM,6.457730435923303,46.466251925897
Foreground Eclipse - Song's Compilation [Destruction],HD,6.422663943879701,46.42935268199772
xi - FREEDOM DiVE [Arles],NF,9.700611216692344,46.26769968937962
