beatmap_name,mods,stars,pp_SS
xi - Ascension to Heaven [Extra],HDDT,5.638513605330002,47.11463449461263
96neko - Uso no Hibana [Collab Insane],HD,4.839868286359718,29.347020279310637
xi - over the top [Extra],NM,6.21010721534049,41.58480923033184
Avenged Sevenfold - Save Me [Tragedy],NM,6.099036951036571,29.024223590444905
Meiko - Leave The Lights On (KROT Remix) [Insane],NM,4.30513647619672,32.289448679055646
Oomori Seiko - JUSTadICE (TV Size) [Extreme],HDDT,6.339103074862413,25.262590371098987
yuikonnu - Heart no Atoaji [Sotarks' Emotions],NM,6.043173541575692,29.966187756933806
HOYO-MiX - Termination of Desires [Musou no Hitotachi],HD,5.249402745303337,26.011534959964735
The Koxx - A FOOL MOON NIGHT (SHORT VER.) [Extreme],NFV2,6.544601123369281,29.915738012347013
Lil Peep - Save That Shit [Hard],DTSD,2.9479936286051505,35.26845031406606
Akatsuki Records - Trance Dance Anarchy [Dancing!],HDDT,5.769530490804696,36.60343585584793
Akiyama Uni - Kaoru Juyouka [Musk Sprout],NM,5.785399708112689,52.49658140578185
Imperial Circus Dead Decadence - FUBUKI [Tranquility],NM,7.131365595166249,35.33871520192895
TWICE - What is Love? [I Wanna Know!],NM,4.502028074171126,32.310264653838864
Wotamin - Gigantic O.T.N [S.S],NM,5.7757660915743365,45.92580692832576
Babalos - Snow Crystal 185 [OLD Crystalphoria],NM,7.128940580442687,39.0138273444135
Katagiri - RAINBOW GIRL (katagiri Remix) [Save the World],NM,7.528313701638098,30.641797202096484
Sephid - Epistrofi [Expert],EZ,5.565685746513785,30.628369296470698
DragonForce - Through the Fire and Flames [Myth],NM,6.018916123081363,36.25807415381817
FELT - New World [Illusion],NM,6.022142941786834,35.80816824715733
Linkin Park - Breaking The Habit [turbo kolab],NM,7.643965385720611,30.889617825849335
DragonForce - My Heart Will Go On [Insane],NM,5.036140805540047,33.3760015066927
EPICA - Wings of Freedom [Victoria],NM,4.90329284694119,38.43633897347377
ARForest - Altros [Taeyang's Extra],HD,6.533315580448777,36.22779579575479
TUYU - Doro no Bunzai de Watashi dake no Taisetsu o Ubaouda nante [Shallowness],HDNF,7.231712971328948,28.207220789839134
Erehamonika remixed by kors k - Der Wald (Kors K Remix) [fuckface],NM,7.127819146069116,45.08998687408245
Green Day - Bang Bang [Mommy's Little Soldier],NM,7.711670111221021,28.18663478755934
THE ORAL CIGARETTES - ReI [Suou's Insane ft. torriru],NM,4.641608643857884,31.602584720114358
Wakeshima Kanon - Tsukinami [Nostalgia],DT,6.14668942876174,31.35379717525555
a_hisa - Alexithymia | Lupinus | Tokei no Heya to Seishin Sekai [Chronostasis],NM,5.52339448802406,30.75690133276604
