replay_idx,username,beatmap_name,mod_str,nm_stars,count_300,count_100,count_50,count_miss,perplexity
35,epic gaming,THE ORAL CIGARETTES - 5150 [Sotarks' Cataclysm],HDNC,6.575078620333015,502,10,0,0,12.793351150170945
36,epic gaming,OxT - Clattanoia (TV Size) [KUKI'S EXTREME],HDDT,6.552007233198205,420,10,1,0,15.338553678401293
37,-Flary,Twilight Force - Dawn of the Dragonstar [Maki's Expert],HDNC,5.81373895249315,1538,25,0,0,19.85791931350037
38,-Flary,Leah Kate - 10 Things I Hate About You (Sped Up & Cut Ver.) [Mommy Issues],HDDTHR,5.964468509493666,448,23,0,0,25.20727123735155
39,-Flary,Fellowship - Glory Days [Maki's Extra],HDNC,5.634296851954216,1644,32,0,0,28.674596805942183
40,-Flary,Serenity - Lionheart [Expert],HDNC,5.709158922628413,1340,14,1,0,23.636889813206555
41,-Flary,Leah Kate - Life Sux (Sped Up Ver.) [Mommy Sucks],HDNC,6.287624048494708,727,16,0,0,20.644219072256206
42,Freddie Benson,Kano - Stella-rium (Asterisk MAKINA Remix) [Starlight],HDDT,6.0565574778888145,1583,17,0,0,25.16903729747319
43,Freddie Benson,Kano - Dear Brave [Valor],HDDT,6.511637310255804,983,13,0,0,14.836834947257906
44,Freddie Benson,Our Stolen Theory - United (L.A.O.S Remix) [Eternity],NC,5.9312485753963795,1635,49,0,0,52.028819603708286
45,Freddie Benson,Nogizaka46 - Yubi Bouenkyou (TV Size) [Fate],HDDTHR,6.51284444515977,331,5,0,1,8.540299120636401
46,Freddie Benson,Loki - Wizard's Tower [Ultimate Magic],HDNC,6.287242946720037,671,10,0,0,14.590671529411335
47,gnahus,Mio Yamazaki - Noise (English ver.) [Extreme],HDDT,6.8694394056793735,665,12,0,1,13.409734429114987
48,gnahus,SPYAIR - Imagination (TV Size) [Ambition],HDDTHR,6.54533179531643,332,1,0,0,5.410113098072195
49,gnahus,Maneki Kecak - Atashi no Nokori Zenbu Ageru [Daydream],HDDT,6.551945127225527,1408,24,0,2,27.597752436291785
50,gnahus,Centimillimental - Bokura dake no Shudaika [There's no turning back],HDDT,6.450304842057545,1190,15,0,0,20.5582190954279
51,gnahus,Rika (CV: Tamura Yukari) & Satoko (CV: Kanai Mika) & Hanyuu (CV: Horie Yui) - Happy! Lucky! Dochy! (TV Size) [1-2-3],HDDT,6.996275869467044,385,7,0,0,11.659011664092862
52,lifeline,Sleeping With Sirens - If You Can't Hang [Bearizm's Extreme],HDDT,6.71395667993162,1093,20,5,0,44.354438958101106
53,lifeline,LilDeuceDeuce - EVERYBODY DO THE FLOP [WhiteFloppable],HDDT,7.006119590075432,688,11,1,0,20.081916152674633
54,lifeline,FELT - New World [Illusion],HDDT,6.0188434668634,1117,47,1,0,50.73615579132131
55,lifeline,THE ORAL CIGARETTES - Mou Ii kai? [Nevo's Rain],HDDT,6.651641176609672,786,42,0,0,47.729106105375465
56,lifeline,Poppin'Party - KIZUNA MUSIC [Trust],HDDT,6.477941160282513,1298,22,0,0,28.65154937691851
57,maliszewski,DragonForce - Astral Empire [Break of Dawn],HD,8.627843851082256,2492,29,0,0,29.757469349467588
58,maliszewski,Various Artists - Songs Compilation IV [Marathon],HDDT,6.067638796818937,1824,22,1,0,27.088822153266996
59,maliszewski,Yamajet feat. Hiura Masako - Sunglow [Harmony],HDNC,6.240666656709768,1151,5,0,0,13.244758653985018
60,maliszewski,Turbo - PADORU / PADORU [Gift],HDDTHR,6.298604407906094,146,1,0,0,4.316687534697634
61,maliszewski,Kano - Dear Brave [Valor],HDDT,6.511637310255804,974,22,0,0,23.820643916872516
62,Mathi,Shoji Meguro - Kimi no Kioku (Aethral Remix) [Remembrance],HDDT,5.257417132533547,1620,12,0,0,18.14909461869818
63,Mathi,Misato - Paranoid Lost [Dream of Autumn Colors],HDDT,5.880469629712671,1321,13,0,0,18.652373061377332
64,Mathi,Amatsuki - STARTRAiN [Beyond Fate],HDDT,6.148715273432171,888,4,0,0,13.845612090275793
65,Mathi,Zedd - Clarity (feat. Foxes) (kamome sano remix) [The Song Is About a Tragic Love],HDDT,5.47721625521087,1274,8,0,0,16.636634741446628
66,Mathi,Electro.muster & WOM feat. Aoki Lapis - A Sugar Business [Lactose Marathon],HDDT,5.439088207766601,1718,15,0,0,21.27500057856196
67,mrekk,TUYU - Anoyo-iki no Bus ni Notte Saraba. [Yandere],HDDT,7.751569753546494,897,45,0,6,42.40098846283347
68,mrekk,Yooh - MariannE [Collab],HDDT,6.134143091958415,1756,26,0,0,36.08309341548681
69,mrekk,THE ORAL CIGARETTES - Mou Ii kai? [Rain],HDDT,6.75369445180901,537,17,1,0,19.841119120539286
70,mrekk,DECO*27 - First Storm feat. Hatsune Miku [my Drops of Tears I'll turn to Sparks of Fire],HDDT,6.6556159382740665,988,28,0,0,34.68470809204999
71,mrekk,Demetori - Seijouki no Pierrot ~ The MadPiero Laughs [Extra Stage],HDDT,6.416091225745485,1405,70,0,0,56.12381973326822
72,ninerik,Apocalyptica - Reign of Fear [V],HDNC,5.777974261554122,1316,13,0,0,18.83375060583978
73,ninerik,Serenity - Lionheart [Expert],HDNC,5.709158922628413,1348,7,0,0,14.406434480368842
74,ninerik,Twilight Force - Dawn of the Dragonstar [Maki's Expert],HDNC,5.81373895249315,1518,45,0,0,39.88030101930594
75,ninerik,Fellowship - Glory Days [Maki's Extra],HDNC,5.634296851954216,1653,23,0,0,22.53421922713224
76,ninerik,Leah Kate - Life Sux (Sped Up Ver.) [Mommy Sucks],HDNC,6.287624048494708,738,5,0,0,12.752042065441923
77,NyanPotato,Utsu-P feat. Kagamine Rin - Tokyo Teddy Bear [Extreme],HDDT,6.591802312883166,935,34,0,5,38.36117668106118
78,NyanPotato,xi - Ascension to Heaven [BoshyMan's Extra],HDDT,5.931233237441097,853,49,0,0,50.30415730059342
79,NyanPotato,"Minazuki Airi with Atsushi - Daisuki, Evolution [Extreme]",HDDT,6.3362892903348715,562,31,0,1,34.49185174768741
80,NyanPotato,Inugami Korone & Nekomata Okayu - Hyadain's Jojo Yujo [Korone],HDNC,6.426183871928806,1102,25,0,0,28.385091834674853
81,NyanPotato,ALiCE'S EMOTiON - Dark Flight Dreamer [Dreamer],HDDT,5.9964579612302344,985,25,0,0,25.98192750935403
82,shimon,Serenity - Lionheart [Expert],DTSD,5.709158922628413,1346,9,0,0,17.202318201762502
83,shimon,Fellowship - Glory Days [Maki's Extra],DT,5.634296851954216,1649,27,0,0,23.403560976652063
84,shimon,ALiCE'S EMOTiON - Dark Flight Dreamer [Dreamer],DT,5.9964579612302344,999,11,0,0,18.596539587032563
85,shimon,Our Stolen Theory - United (L.A.O.S Remix) [Eternity],HDDT,5.9312485753963795,1624,60,0,0,57.45648262949125
86,shimon,Leah Kate - 10 Things I Hate About You (Sped Up & Cut Ver.) [Mommy Issues],HDDT,5.964468509493666,470,1,0,0,8.00795109991219
88,sytho,07th Expansion - rog-unlimitation [AngelHoney],DT,6.118187281813472,606,3,0,0,16.897502990676536
89,sytho,MIMI vs. Leah Kate - 10 Things I Hate About Ai no Sukima [Mommy's Radiance],NC,6.631032748903507,336,5,0,1,10.985602409890335
90,sytho,xi - Ascension to Heaven [BoshyMan's Extra],NC,5.931233237441097,870,32,0,0,36.71379380642492
91,sytho,Mutsuhiko Izumi - Snow Goose [Extra],NCHR,5.7307517369258125,620,38,0,0,40.27285280674116
92,Utami,Kano - Stella-rium (Asterisk MAKINA Remix) [Starlight],HDDT,6.0565574778888145,1556,41,2,1,38.21292286622137
93,Utami,Our Stolen Theory - United (L.A.O.S Remix) [Eternity],HDDT,5.9312485753963795,1616,66,2,0,57.18427345763574
94,Utami,Foreground Eclipse - Songs Compilation II [Can You See The Distant Journey Awaiting Us],HDDT,5.694110655784902,2423,68,0,0,59.47377647668833
95,Utami,Suzuyu - Euphorium [Dream],HDDT,6.129652464984249,1082,17,2,0,22.426908201035022
96,Utami,Fellowship - Glory Days [Maki's Extra],HDNC,5.634296851954216,1592,84,0,0,52.515916424195346
97,WindowLife,Fellowship - Glory Days [Maki's Extra],HDDT,5.634296851954216,1638,37,1,0,33.63326033493989
98,WindowLife,Our Stolen Theory - United (L.A.O.S Remix) [Eternity],DT,5.9312485753963795,1662,21,1,0,24.871242021395908
99,WindowLife,Apocalyptica - Reign of Fear [V],DT,5.777974261554122,1299,30,0,0,25.39264343450042
100,WindowLife,Twilight Force - Dawn of the Dragonstar [Maki's Expert],DT,5.81373895249315,1509,53,1,0,44.98386689013976
101,WindowLife,Serenity - Lionheart [Expert],DT,5.709158922628413,1319,36,0,0,40.03054308732369
102,Zoomer,saradisk - 083 - nekomimi [Nya Nya],HDDT,5.954974757273915,445,6,0,0,14.439473709880922
103,Zoomer,Mastermind(xi+nora2r) - Dreadnought [Final Destination],HDDT,6.066177223948978,751,31,0,0,28.917997517159456
104,Zoomer,Inugami Korone & Nekomata Okayu - Hyadain's Jojo Yujo [Korone],HDNC,6.426183871928806,1107,18,0,2,25.191227684795496
105,Zoomer,Apocalyptica - Reign of Fear [V],HDNC,5.777974261554122,1285,44,0,0,36.36183540566169
106,Zoomer,Apocalyptica - Reign of Fear [V],HDNC,5.777974261554122,1285,44,0,0,36.36183540566169
